28,271,389,2
7,545,798,1
15,930,1083,2
11,2247,2362,2
47,2783,2929,2
51,3147,3375,2
5,4032,4198,2
19,4500,4580,2
10,5085,5238,2
29,5669,5759,2
8,6088,6164,2
35,6296,6388,2
28,271,402,2
15,930,1083,2
11,2251,2356,2
47,2780,2923,2
3,3643,3824,2
5,4022,4173,2
19,4500,4580,2
29,5662,5755,2
8,6086,6161,2
35,6296,6388,2
28,236,350,2
7,480,698,1
15,811,939,2
47,2377,2493,2
5,3392,3520,2
29,4718,4796,2
35,5230,5303,2
32,3656,3711,1
22,4025,4108,2
33,4240,4276,2
34,4505,4526,2
1,4994,5058,2
38,5475,5553,2
29,5728,5799,2
50,5858,6023,2
17,6092,6155,2
42,122,374,2
30,954,1173,2
32,3652,3711,1
46,4698,4827,2
1,5004,5069,2
38,5494,5576,2
29,5743,5812,2
50,5858,6023,2
17,6092,6193,2
42,112,363,2
30,851,1040,2
33,3525,3553,2
46,3866,3953,2
1,4093,4149,2
38,4470,4534,2
29,4663,4728,2
50,4778,4887,2
38,101,229,2
44,612,740,2
36,777,839,2
49,940,1059,2
31,2270,2447,2
19,2955,3026,2
43,3761,3940,2
41,4025,4134,1
47,4302,4378,2
5,5143,5226,2
1,5301,5365,2
29,406,499,2
36,778,839,2
49,942,1061,2
38,3180,3282,2
43,3756,3940,2
47,4296,4371,2
5,5131,5196,2
1,5291,5354,2
38,103,207,2
29,358,447,2
49,829,937,2
10,1489,1634,2
31,1964,2112,2
43,3163,3294,2
41,3374,3448,1
47,3583,3639,2
1,4359,4419,2
22,109,189,2
28,349,520,2
35,852,923,2
34,1482,1512,2
29,2381,2476,2
50,2602,2679,2
15,2782,2856,2
51,3036,3108,2
25,3428,3507,2
32,3603,3660,2
42,3785,3974,2
17,3975,4038,2
33,4219,4287,2
22,109,189,2
35,852,923,2
34,1488,1517,2
7,1601,1665,2
29,2392,2487,2
50,2602,2679,2
15,2782,2856,2
4,3253,3310,2
25,3428,3507,2
42,3798,3974,2
35,755,819,2
34,1318,1340,2
7,1414,1467,2
38,1820,1918,2
29,2083,2166,2
15,2395,2475,2
4,2788,2837,2
25,2935,3004,2
42,3229,3362,2
17,3363,3448,2
28,222,361,2
7,550,631,2
13,797,913,2
35,1032,1136,2
5,2580,2682,2
31,2792,2907,2
19,3070,3124,2
22,3848,3946,2
10,4293,4553,2
4,4671,4759,2
40,4942,5120,2
8,5319,5431,2
49,5588,5689,2
28,222,359,2
13,797,913,2
35,1033,1137,2
47,1601,1758,2
3,2285,2433,2
5,2574,2675,2
31,2784,2898,2
19,3070,3124,2
22,3848,3946,2
4,4649,4772,2
8,5301,5412,2
49,5566,5663,2
30,5815,6024,2
36,6086,6154,2
28,202,324,2
7,506,577,2
35,932,1019,2
47,1424,1557,2
3,2005,2123,2
5,2241,2321,2
22,3265,3339,2
10,3610,3818,2
40,4129,4268,2
49,4603,4720,2
36,5052,5104,2
42,337,527,2
48,888,1397,2
47,1491,1614,2
37,1763,2032,2
38,2089,2258,1
23,2367,2552,2
43,3914,4053,2
41,4140,4219,2
25,4500,4644,2
33,5048,5095,2
6,5347,5424,2
46,5560,5682,2
45,5775,5920,2
50,5938,6053,2
17,6147,6202,2
48,888,1367,2
47,1489,1617,2
37,1763,2032,2
39,2655,2750,2
41,4131,4212,2
32,4295,4399,2
25,4500,4644,2
33,5037,5086,2
6,5340,5416,2
46,5552,5672,2
45,5765,5915,2
50,5938,6053,2
17,6140,6202,2
44,529,672,2
48,798,1220,2
47,1324,1427,2
37,1558,1737,2
38,1841,1984,1
39,2312,2390,2
29,2746,2877,2
43,3333,3447,2
41,3513,3576,2
32,3643,3724,2
25,3810,3922,2
6,4453,4514,2
46,4624,4729,2
50,4944,5039,2
39,524,637,2
23,745,916,2
44,1211,1364,2
49,1526,1635,2
46,1818,1900,2
30,2059,2290,2
10,3059,3286,2
31,3588,3698,2
43,4025,4164,2
41,4287,4352,2
47,4497,4629,2
48,5053,5419,2
